sentence,label
pala nokija: pala: bedanawa: kijan_ne: o:kaʈa tama:,Good
ane: na:ɖa: hiɗin_ maɡe: pute:,Good
maɡen_ ahaɡan_na hadan_na epa: hut_tiɡe: puta:,Bad 
maɡen_ ahaɡan_na hadan_na epa:hut_tiɡe: puta:,Bad
maɡen_ ahaɡan_na hadan_na epa: hut_tiɡe:puta:,Bad
maɡen_ ahaɡan_na hadan_na epa:hut_tiɡe:puta:,Bad   
maɡen_ ahaɡan_na hadan_na epa: bu:ru puta:,Good
bu:ru wæɖa karana eke: si:ma:wak_ tija: ɡan_na o:ne:,Good
maɡen_ wen_na o:na dejak_ tijenawa: nam_ kijan_na,Good
e:ka me: næn_daɡen_ ahaɡan_na,Good
calita kijana hut_tiɡe kol_la: hitan_ in_ne: u: tama: pora kijala:,Bad
calita kijanahut_tiɡe kol_la: hitan_ in_ne: u: tama: pora kijala:,Bad
calita kijana hut_tiɡekol_la: hitan_ in_ne: u: tama: pora kijala:,Bad
calita kijanahut_tiɡekol_la: hitan_ in_ne: u: tama: pora kijala:,Bad
calita kijana me: kol_la: hitan_ in_ne: u: tama: pora kijala:,Good
me: dawas_ wala ræ:ʈa wahinawa:,Good 
kol_la: moko: wen_ne: me: pæt_te:,Good
alut_ awurudu carit__rajak_ lesa pora pol_ ɡæsi:ma sidu karaji,Good
oja hut_tik_ kol_la: tama: maʈa jan_na dun_næt_te:,Bad
oja hut_tik_kol_la: tama: maʈa jan_na dun_næt_te:,Bad
ojahut_tik_ kol_la: tama: maʈa jan_na dun_næt_te:,Bad
ojahut_tik_kol_la: tama: maʈa jan_na dun_næt_te:,Bad
oja næ:dæ: kol_la: tama: maʈa jan_na dun_næt_te:,Good
næ:dæ: kijana ekek_wat_ mama ɡanan_ ɡan_næ:,Good 
oja kol_la: metana mokada karan_ne:,Good
æji oja: maʈa eda: metanin_ jan_na dun_næt_te:,Good
ut_ti to: pala ɡedara,Bad
ut_tito: pala ɡedara,Bad
naŋɡi to: pala ɡedara,Good
naŋɡi mal_walaʈa watura dæmuwa:ja,Good 
ut_tije: mama neme: en_na kiw_we:,Bad
ut_tije:mama neme: en_na kiw_we:,Bad
ajije: mama neme: en_na kiw_we:,Good
ajije: me:ka poɖ_ɖak_ al_la ɡan_na,Good 
ut_tik_ kol_la: tamuseɡe: wæɖak_ bala: ɡan_nawa:,Bad
ut_tik_kol_la: tamuseɡe: wæɖak_ bala: ɡan_nawa:,Bad
poɖi kol_la: tamuseɡe: wæɖak_ bala: ɡan_nawa:,Good
poɖi kata:wak_ da:la: en_nam_,Good 
alija: he:naʈa æwit_ hukanawa:,Bad
alija: he:naʈa æwit_hukanawa:,Bad
alija: he:naʈa æwit_ janawa:,Good
api heʈa kolaɓa janawa:,Good
poɖi eka: naŋɡiʈa hukanawa,Bad
poɖi eka: naŋɡiʈahukanawa,Bad
poɖi eka: naŋɡi ɡahanawa,Good
serep_puwalaʈa aɖi ɡahanawa,Good
ɡoʈukola hukan_na: adat_ æwit_,Bad 
ɡoʈukolahukan_na: adat_ æwit_,Bad 
ɡoʈukola hukan_na:adat_ æwit_,Bad
ɡoʈukolahukan_na:adat_ æwit_,Bad  
ɡoʈukola ma:ma: adat_ æwit_,Good
ma:ma: bomuda si:tala waturu wi:duruwak_,Good
sudu ædaɡena kalu æwit_,Good
adat_ mokada metana karan_ne:,Good
apo: wam_baʈu pajija: enawa: me: pæt_taʈa,Bad
apo: wam_baʈupajija: enawa: me: pæt_taʈa,Bad
apo: wam_baʈu pajija:enawa: me: pæt_taʈa,Bad
apo: wam_baʈupajija:enawa: me: pæt_taʈa,Bad
apo: wam_baʈu ranil_ enawa: me: pæt_taʈa,Good
ranil_ dejijo: raʈa karanawa: o:n_ balan_na,Good 
mama ka:ɡewat_ pæt_taʈa adin_næ:,Good
mokut_ o:n_næ: mehe enawa: ik_manaʈa,Good
para we:si tama: ok_ko:ma metana karan_ne:,Bad
parawe:si tama: ok_ko:ma metana karan_ne:,Bad
para we:sitama: ok_ko:ma metana karan_ne:,Bad
parawe:sitama: ok_ko:ma metana karan_ne:,Bad
para sud_da: tama: ok_ko:ma metana karan_ne:,Good
me: ʈæŋki sud_da: kohen_da ɡat_te:,Good  
para ɡæti kamaʈa mona: karan_nada,Good
metana mokak_da wen_ne: kijala maʈa pæhædili karala den_na,Good
we:sa bæl_li o:ka ɡanin_ ik_manaʈa,Bad
we:sabæl_li o:ka ɡanin_ ik_manaʈa,Bad
mo:ɖa bæl_li o:ka ɡanin_ ik_manaʈa,Good
pute: o:kanam_ maha mo:ɖa wæɖak_,Good 
we:sa bal_la: ok_ko:ma ka:lane:,Bad
we:sabal_la: ok_ko:ma ka:lane:,Bad
ɡas_ bal_la: ok_ko:ma ka:lane:,Good
ɡas_ sulaɠaʈa wæneji,Good 
we:sa:wa: nisa:ne: me: ok_ko:ma,Bad
we:sa:wa:nisa:ne: me: ok_ko:ma,Bad
mahin_da nisa:ne: me: ok_ko:ma,Good
mahin_da ra:ɟapak_ʃa ape: maha raɟa:,Good 
we:siɡe puta: ta:mat_ mæren_ne: næ:,Bad
we:siɡeputa: ta:mat_ mæren_ne: næ:,Bad
ta:no:s_ɡe: puta: ta:mat_ mæren_ne: næ:,Good
ta:no:s_ in_ne: mona fil_m_ eke:da,Good 
we:siɡe: puta: ituru dun_ne: næ:,Bad
we:siɡe:puta: ituru dun_ne: næ:,Bad
kaɖe: puta: ituru dun_ne: næ:,Good
dæn_ kaɖe: wahan_naji jan_ne:,Good 
o:ki tama: e:rija: eke: paʈ_ʈa we:si,Bad
o:ki tama: e:rija: eke: paʈ_ʈawe:si,Bad
o:ki tama: e:rija: eke: paʈ_ʈa kel_la,Good
e: kel_la nam_ maru baŋ,Good 
me: kæri we:si tama: maʈa metanaʈa en_na kiw_we:,Bad
me:kæri we:si tama: maʈa metanaʈa en_na kiw_we:,Bad
me: kæri we:sitama: maʈa metanaʈa en_na kiw_we:,Bad
me:kæriwe:si tama: maʈa metanaʈa en_na kiw_we:,Bad
me: kæri we:sitama:maʈa metanaʈa en_na kiw_we:,Bad
me:kæri we:sitama: maʈa metanaʈa en_na kiw_we:,Bad
me:kæriwe:sitama: maʈa metanaʈa en_na kiw_we:,Bad
me: manus_saja: tama: maʈa metanaʈa en_na kiw_we:,Good
e: manus_saja: ɡamaʈa loku se:wajak_ karamin_ hiʈije:,Good
æji maʈa ɡem_ba: kiw_we: maŋ kætada,Good
en_na kan_na bon_na mokaʈada heʈak_,Good
me: tama: ape: loku si:ja:,Good
mama a:we: næ: un_ ma:wa metanaʈa ek_kan_ a:wa:,Good
me:kaʈa maʈa karan_na dejak_ næ:,Good
me: muhudu hukan_na: lamaji hadan_ne: næd_da,Bad 
me: muhudu hukan_na:lamaji hadan_ne: næd_da,Bad
me: muhuduhukan_na: lamaji hadan_ne: næd_da,Bad 
me: muhuduhukan_na:lamaji hadan_ne: næd_da,Bad  
me: muhudu ɟi:wi:n_ lamaji hadan_ne: næd_da,Good
piʈasak_wala ɟi:wi:n_ in_nawa: da næd_da jan_na ta:ma harijaʈa soja: ɡena næta,Good
lamaji udæ:sana pa:sala bala: piʈat_ weti,Good
muhudu patula ɡoɖa:k_ aɗuru s_ta:najaki,Good
ʈoukan_ɖa ehemat_ ekak_ tijenawada dæn_,Bad
ʈoukan_ɖaehemat_ ekak_ tijenawada dæn_,Bad
æt_taʈa ehemat_ ekak_ tijenawada dæn_,Good
æt_taʈa e:ka nam_ ma:ra wæɖak_ ne:,Good 
ʈoukan_na æji e:ka kal_ dæm_me:,Bad
ʈoukan_naæji e:ka kal_ dæm_me:,Bad
ane: æji e:ka kal_ dæm_me:,Good
ane: dæn_ mama mokada metana karan_na o:ne:,Good 
metana nam_ ʈahukan_na hitan_na epa:,Bad
metana nam_ʈahukan_na hitan_na epa:,Bad
metana nam_ ʈahukan_nahitan_na epa:,Bad
metana nam_ʈahukan_nahitan_na epa:,Bad
metana nam_ bon_na hitan_na epa:,Good
kan_na bon_na tijenawa: nam_ tawa mona maɠulada o:ne: kijan_ne:,Good
can_de den_na kalin_ poɖ_ɖak_ hitan_na,Good
ada daruwaʈa nam_ tabana dawasa,Good 
ʈahike: ma:t_ o:ka wiʃ_wa:sa karala sal_li dæm_ma:,Bad
ʈahike:ma:t_ o:ka wiʃ_wa:sa karala sal_li dæm_ma:,Bad
aɖo: ma:t_ o:ka wiʃ_wa:sa karala sal_li dæm_ma:,Good
aɖo: hina: jan_ne: næti wihilu karan_na epa:,Good  
ʈaike: uɓa a:wada,Bad
ʈaike:uɓa a:wada,Bad
apoji uɓa a:wada,Good
apoji mokak_da me: maʈa sid_d_a wu:je:,Good 
kæri tam_bijo tama: bo:m_ba tib_be:,Bad
kæritam_bijo tama: bo:m_ba tib_be:,Bad
an_tawa:di: tam_bijo tama: bo:m_ba tib_be:,Good
a:ɡamika an_tawa:di: piris_ raʈa bedi:maʈa kuman_t__rana karaji,Good 
ɡoʈukola pon_naja: uɓa tamaji dawasakaʈawat_ miniha:,Bad
ɡoʈukola pon_naja:uɓa tamaji dawasakaʈawat_ miniha:,Bad
ɡoʈukolapon_naja: uɓa tamaji dawasakaʈawat_ miniha:,Bad
ɡoʈukolapon_naja:uɓa tamaji dawasakaʈawat_ miniha:,Bad
ɡoʈukola mudala:li uɓa tamaji dawasakaʈawat_ miniha:,Good
mudala:li bis_kaʈ_ pækaʈ_ ekak_ den_nako:,Good 
eka dawasakaʈawat_ me: pæt_te: æwil_la: jan_na en_na,Good
ɡoʈukola kan_na maŋ a:sa næ:,Good
ɡihin_ wæɖak_ bala: ɡanin_ pon_na kærija:,Bad
ɡihin_ wæɖak_ bala: ɡanin_ pon_nakærija:,Bad
ɡihin_ wæɖak_ bala: ɡanin_pon_na kærija:,Bad
ɡihin_ wæɖak_ bala: ɡanin_ pon_nakærija:,Bad
ɡihin_ wæɖak_ bala: ɡanin_pon_nakærija:,Bad
ɡihin_ wæɖak_ bala: ɡanin_ pam_po:ri ɟanaka,Good
me: in_ne: ape: ɡame: pam_po:ri ɟanaka,Good 
ada ɡihin_ wæɖak_ næ:,Good
mama janakoʈa bas_ eka ɡihin_,Good
me:ka poɖ_ɖak_ al_la ɡanin_,Good
ajijo: hæminenawa,Bad 
ajijo:hæminenawa,Bad 
ajijo: hæp_penawa,Good
tawa poɖ_ɖen_ hæp_penawa,Good
bal_laji bæl_liji hæminenawa:,Bad
bal_laji bæl_lijihæminenawa:,Bad
bal_laji bæl_liji duwanawa:,Good
kijana de: ahala ik_manaʈa metanin_ duwanawa:,Good 
me: we:sout_ta: kohen_da mehe: a:we:,Bad
me:we:sout_ta: kohen_da mehe: a:we:,Bad
me: we:sout_ta:kohen_da mehe: a:we:,Bad
me:we:sout_ta:kohen_da mehe: a:we:,Bad
me: sata: kohen_da mehe: a:we:,Good
kijapan_ balan_na ma:t_ ek_ka sata: wen_na,Good 
lar_nas_ ekaʈa kohen_da jan_na tijen_ne:,Good
am_ma: mehe: a:we: næ:,Good
ara tama: in_ne: ape: pon_na we:sa manama:li,Bad
ara tama: in_ne: ape:pon_na we:sa manama:li,Bad
ara tama: in_ne: ape: pon_na we:samanama:li,Bad
ara tama: in_ne: ape:pon_na we:samanama:li,Bad
ara tama: in_ne: ape:pon_na we:samanama:li,Bad
ara tama: in_ne: ape:pon_nawe:samanama:li,Bad
ara tama: in_ne: ape: puta: baɗina manama:li,Good
puta: baɗina lanu kærali ʈika ko:,Good
ara iɖama tama: api ɡan_na jan_ne:,Good
manama:laja: manama:li dæka puduma wija,Good
ape: ta:t_ta: ta:mat_ a:we: næ:ne:,Good
metana in_ne: sa:ma:n__ja pawul_wala aja neme:,Good
pon_na pakaja: uɓa hituwada mama mo:ɖajaʈa an_dan_na,Bad
pon_napakaja: uɓa hituwada mama mo:ɖajaʈa an_dan_na,Bad
pon_na pakaja:uɓa hituwada mama mo:ɖajaʈa an_dan_na,Bad
pon_napakaja:uɓa hituwada mama mo:ɖajaʈa an_dan_na,Bad
wil_ba:we: se:tan_ uɓa hituwada mama mo:ɖajaʈa an_dan_na,Good
wil_ba:we: se:tan_ ajijaɡe: awasan_ kaʈajutu heʈa hawasa karan_wa:,Good 
heʈa weɖin_ ekaʈa an_dan_na kenek_ hoja:ɡan_nat_ o:ne:,Good
oja: hituwada wa:hana elawana eka le:si wæɖak_ kijala,Good
nil_ma:nel_ hut_ti ɡenal_la: di:pan_ sal_li,Bad
nil_ma:nel_ hut_tiɡenal_la: di:pan_ sal_li,Bad
nil_ma:nel_hut_ti ɡenal_la: di:pan_ sal_li,Bad
nil_ma:nel_hut_tiɡenal_la: di:pan_ sal_li,Bad
nil_ma:nel_ mal_walaʈa ɡenal_la: di:pan_ sal_li,Good
me: mal_walaʈa pæn_ ʈikak_ ihin_na,Good
o:ka di:pan_ lamajekuʈa,Good
sal_li sal_li kijala bæluwe: næ: ɡat_ta: alut_ ekak_,Good
æhælamal_ we:si kaɖa:ɡenada tijen_ne,Bad
æhælamal_ we:sikaɖa:ɡenada tijen_ne,Bad
æhælamal_we:si kaɖa:ɡenada tijen_ne,Bad
æhælamal_we:sikaɖa:ɡenada tijen_ne,Bad
æhælamal_ waʈ_ʈijaʈa kaɖa:ɡenada tijen_ne,Good
dæhæt_ waʈ_ʈijaʈa bulat_ ɡe:n_na,Good 
oja kakula kaɖa:ɡenada in_ne:,Good
æhælamal_ mona pa:ʈada,Good
pon_na paka: ada ube: sel_lam_ iwaraji,Bad
pon_na paka:ada ube: sel_lam_ iwaraji,Bad
pon_napaka: ada ube: sel_lam_ iwaraji,Bad
pon_napaka: ada ube: sel_lam_ iwaraji,Bad
pon_napaka:ada ube: sel_lam_ iwaraji,Bad
maiti:pa:la sirise:na ada ube: sel_lam_ iwaraji,Good
maiti:pa:la sirise:na a:je: ɟana:d_ipatiwaranajaʈa særase:,Good 
poɖi lamaji sel_lam_ bat_ ujati,Good
adin_ ajadum_pat_ b_a:raɡan_na: dinaja iwaraji,Good
ube: ɡama koheda,Good 
maɡe: ʈopa: hapan_na epa:,Bad
maɡe: ʈopa:hapan_na epa:,Bad
maɡe:ʈopa: hapan_na epa:,Bad
maɡe:ʈopa:hapan_na epa:,Bad
maɡe: pæn_sala hapan_na epa:,Good
e: ratu pa:ʈa pæn_sala hoɗaji cit__ra aɗin_na,Good
o:ka maɡe: le:n_suwa,Good
o:kanam_ karan_na hitan_nawat_ epa:,Good
uɓane: pan_tije: in_na ekama kiɓi siɓa:,Bad
uɓane: pan_tije: in_na ekamakiɓi siɓa:,Bad
uɓane: pan_tije: in_na ekama kiɓisiɓa:,Bad
uɓane: pan_tije: in_na ekamakiɓisiɓa:,Bad
uɓane: pan_tije: in_na ekama hoɗa lamaja:,Good
hoɗa lamaja: dæn_ ɡihil_la: ituru wæɖa ʈikat_ oja waɡe:ma karan_na,Good
uɓane: metana in_na ekama mo:ɖaja:,Good
ada pan_tije: lamajiɡe: pæmini:ma aɖuja,Good
me: kiɓisiɓa: uɓaʈa o:ka ham_ben_næ:,Bad
me: kiɓisiɓa:uɓaʈa o:ka ham_ben_næ:,Bad
me:kiɓisiɓa: uɓaʈa o:ka ham_ben_næ:,Bad
me:kiɓisiɓa:uɓaʈa o:ka ham_ben_næ:,Bad
me: ɟajan_ta uɓaʈa o:ka ham_ben_næ:,Good
ɟajan_ta en_nako: poɖ_ɖak_ me: pæt_taʈa,Good
uɓaʈa me: karapu wæɖe:ʈa wan_di ɡewan_na weji,Good
o:ki uɓaʈa baɗin_na ham_ben_næ:,Good
ɡoŋ kærija kalot_ karan_ne: oja waɡe: dasa balu wæɖak_,Bad
ɡoŋkærija kalot_ karan_ne: oja waɡe: dasa balu wæɖak_,Bad
ɡoŋ kærijakalot_ karan_ne: oja waɡe: dasa balu wæɖak_,Bad
ɡoŋkærijakalot_ karan_ne: oja waɡe: dasa balu wæɖak_,Bad
ɡoŋ was_sa: kalot_ karan_ne: oja waɡe: dasa balu wæɖak_,Good
me: was_sa: ape: ekek_ neme: ne:,Good 
balu pæʈawa: kæ:ma soja: pa:re: ɡaman_ kale:ja,Good
e:ka ab___ja:waka:ʃa ja:na:wak_ waɡe:,Good
am_bo: me: in_ne: kærija waɡe:,Bad
am_bo: me: in_ne:kærija waɡe:,Bad
am_bo: me: in_ne: kærijawaɡe:,Bad
am_bo: me: in_ne:kærijawaɡe:,Bad
am_bo: me: in_ne: pora waɡe:,Good
pora kukulan_ wikini:maʈa æta,Good 
me: pa:ra nam_ mama kohomahari pa:s_ wenawa:,Good
dæn_ nam_ itiŋ oja:laʈa saruji waɡe:,Good
mama tamaji metana in_na kærija:,Bad
mama tamaji metana in_nakærija:,Bad
mama tamaji metana in_na nilad_a:rija:,Good
nilad_a:rija: se:waja pæhæra hæra tibe:,Good 
maʈa mahat_tajo: oja kæri si:n_ tama: al_lan_ne: næt_te:,Bad
maʈa mahat_tajo: ojakæri si:n_ tama: al_lan_ne: næt_te:,Bad
maʈa mahat_tajo: oja kærisi:n_ tama: al_lan_ne: næt_te:,Bad
maʈa mahat_tajo: ojakærisi:n_ tama: al_lan_ne: næt_te:,Bad
maʈa mahat_tajo: oja loku si:n_ tama: al_lan_ne: næt_te:,Good
ara loku ɡedara maɡe:,Good 
æji oja: mama witarak_ al_lan_ne:,Good
mahat_tajo: maʈa poɖi udaw_waka karan_na,Good
æʈ_ʈim_ba ek_ka sel_lam_ karan_na a:sada,Bad
æʈ_ʈim_baek_ka sel_lam_ karan_na a:sada,Bad
æʈiɡeɖi ek_ka sel_lam_ karan_na a:sada,Good
maʈa æʈiɡeɖi o:ne: wæɖakaʈa,Good 
am_bakis_sa de:wa:leʈa jamu,Bad
am_bakis_sade:wa:leʈa jamu,Bad
wiʃ_nu de:wa:leʈa jamu,Good
ja:panaje: wiʃ_nu de:wa:leʈa jana ɡaman_,Good 
kæri loɗaja: me: in_ne:,Bad
kæriloɗaja: me: in_ne:,Bad
pol_ loɗaja: me: in_ne:,Good
kurunæ:ɡala pol_ t__riko:najaʈa ajat_ p__rade:ʃajaki,Good
oja kæ:l_la nam_ kæri baɖuwa baŋ,Bad
oja kæ:l_la nam_kæri baɖuwa baŋ,Bad
oja kæ:l_la nam_ kæribaɖuwa baŋ,Bad
